source_deposit,LABEL,LONGITUDE,LATITUDE,SOURCE,PROVINCEID,OCCURRENCE_NAME,CLASS,STATE,COMMODITY_NAMES,gravity_iso_residual,gravity_cscba,gravity_cscba_1vd
,0,136.61875261731436,-26.096004671650658,blank_area,GA.GeologicProvince.529801,,,,,-103.70866394042969,-167.3855,-209.86427
,0,125.67416064102596,-22.93060840249056,blank_area,GA.GeologicProvince.468269,,,,,-202.16053771972656,-520.08746,-97.77175
,0,118.79590000000002,-25.77599999999999,other_deposit,,Deposit G - Areas G and H,mineral deposit,WA,Iron,-17.15621566772461,-481.7019,1608.9088
,0,119.9669,-22.507100000000023,other_deposit,,Roy Hill 1 Years 6-10 South,mineral deposit,WA,Iron,-378.7030944824219,-778.5137,-1230.342
,0,145.37900000000002,-16.5195,other_deposit,,SHANNONVALE ROAD,OPERATING MINE,QLD,Unspecified/Unknown,340.41790771484375,125.325935,-254.63644
Kiwi Carpet,1,150.86870404814525,-24.65961461555189,positive,,,,,,184.04922485351562,-77.4903,-3701.1584
,0,116.887,-29.03260000000008,other_deposit,,Feinberg and Cross Ochre (59),mineral deposit,WA,Ochre,-57.73025131225586,-344.2859,3511.6829
,0,134.07976904682323,-25.22079483318673,blank_area,GA.GeologicProvince.364772,,,,,-354.4996643066406,-664.16626,-838.13586
,0,140.3951,-34.32039999999998,other_deposit,,BELDORA,DEPOSIT,SA,Sand - undifferentiated,-256.1444091796875,-303.6142,-1586.5867
Mt. Leslie,1,140.18022183541268,-20.369789636884853,positive,,,,,,490.853271484375,293.44727,596.0868
Yiddah,1,147.3341607626796,-34.0500744302669,positive,,,,,,270.279052734375,52.247803,1436.5125
Mount Darcy,1,143.25417591397525,-18.240966361754552,positive,,,,,,21.2137393951416,-219.15727,-2963.6135
,0,146.0501,-41.18070000000005,other_deposit,,DDH DR10,deposit,TAS,Tin,102.27061462402344,-94.58559,-3041.1067
,0,137.40225930545276,-20.06271621505416,blank_area,GA.GeologicProvince.468269,,,,,-31.4273681640625,-233.35742,-1497.4431
,0,116.14839999999998,-31.5046,other_deposit,,Area 4 - Julimar,mineral deposit,WA,"Alumina, Unspecified/Unknown, Bauxite",43.993900299072266,-92.932175,2556.8264
,0,121.7248,-33.37009999999999,other_deposit,,Scaddan Gypsum / Megatta,mineral deposit,WA,Gypsum,-356.078125,-494.45816,-972.649
,0,114.90080000000002,-28.891800000000003,other_deposit,,Shorts North - Nangetty-Walkaway Rd Lot 1 Ellendale/Patience,mineral deposit,WA,Sand - construction,128.1044921875,51.667717,-12.329722
,0,145.514896531094,-20.69821549816505,blank_area,GA.GeologicProvince.559189,,,,,367.2515563964844,32.24299,-1094.36
Greenvale Project (Cockie Creek deposit),1,144.7556155281832,-19.077908641957183,positive,,,,,,578.7671508789062,88.226234,-1585.9711
,0,127.01120451227892,-16.730310291088493,blank_area,GA.GeologicProvince.468269,,,,,198.79006958007812,-183.03214,-468.14658
,0,135.2693561125619,-25.81213151548545,blank_area,GA.GeologicProvince.529551,,,,,-130.8764190673828,-293.49442,36.334507
Gemini,1,148.0467474832026,-33.37713075202089,positive,,,,,,177.26910400390625,-103.833405,-740.12317
Thursdays Gossan-Junction Reef (Victor 1 and Victor 2),1,142.6207790500703,-37.60363157019417,positive,,,,,,345.7005615234375,155.775,2523.5356
,0,141.79669495899591,-27.261096141560568,blank_area,GA.GeologicProvince.529551,,,,,-20.828519821166992,-112.8957,120.176186
,0,130.07990300643857,-23.93346945741296,blank_area,GA.GeologicProvince.364772,,,,,-841.5530395507812,-1306.031,-1866.1018
,0,118.4179,-31.16399999999999,other_deposit,,Lake Campion,mineral deposit,WA,Gypsum,-118.64663696289062,-421.90427,82.392845
,0,132.46178551521976,-28.795679360615885,blank_area,GA.GeologicProvince.529302,,,,,74.55862426757812,-150.03395,40.93367
,0,117.4565,-30.8434,other_deposit,,Koorda SW (70),mineral deposit,WA,Gypsum,-112.98110961914062,-394.43567,446.28076
